209,2834441
661,3845275
442,9200335
530,2460938
818,4014341
951,6613825
559,6426650
510,8523828
925,4370872
510,7968678
707,3353393
707,7754173
323,3765018
949,3028420
530,2782454
559,2400111
858,5796988
530,6027456
530,5576765
951,8449243
760,3303026
760,9529739
559,2646769
707,2893658
530,9408404
951,2060694
530,7881683
530,6776352
323,7764330
562,4065482
530,9586887
562,1114190
650,3617760
415,1555461
831,2345657
707,7292009
760,5719900
510,1704100
530,2169400
925,6284686
213,3253201
530,1110098
530,7018422
909,2841004
909,7459010
530,4272094
559,5465460
209,3123852
760,8241414
831,6786592
530,3688723
559,3656280
805,4769926
530,6070969
707,8692966
559,8720606
760,5508720
669,2130253
760,7807650
650,4175636
949,3322954
925,9090202
209,8942605
760,6153960
831,4544197
530,1322858
530,9611452
530,9929799
661,6349584
760,8314104
949,7883842
530,4863994
661,3715151
661,5759123
858,4866405
760,5503370
562,4167472
650,4147948
530,7929978
559,7163747
530,3352105
310,7317264
805,2294630
530,6123610
760,3438900
619,8822612
760,4709559
760,6561227
760,3515114
323,8601283
209,3697864
619,4742811
209,7425103
619,5376465
530,1647031
559,7212827
442,6750272
661,1198034
707,6342543
415,7601684
